Date,Time,Battery_Percent,Time_Remaining,Battery_Condition,Maximum_Capacity,Process_Count,CPU_Usage,Total_Memory,Used_Memory,Cycle_Count,Charging,Low_Power_Mode,Process_Power,Process_State
05/06/2026,16:49:10,68,908,Normal,100,792,58.7,24.0,12.2,8,0,0,15.0,1
05/06/2026,16:49:34,68,908,Normal,100,792,57.1,24.0,12.09,8,0,0,27.0,2
05/06/2026,16:50:06,68,858,Normal,100,806,10.9,24.0,12.23,8,0,0,123.0,3
05/06/2026,16:50:26,68,858,Normal,100,806,59.3,24.0,11.95,8,0,0,23.0,1
05/06/2026,16:50:58,68,848,Normal,100,793,8.3,24.0,11.97,8,0,0,95.0,1
05/06/2026,16:51:27,68,848,Normal,100,791,62.0,24.0,11.99,8,0,0,100.3,1
05/06/2026,16:52:00,68,838,Normal,100,791,8.1,24.0,11.96,8,0,0,83.0,2
05/06/2026,16:52:32,68,838,Normal,100,790,8.2,24.0,11.82,8,0,0,39.3,1
05/06/2026,16:53:04,68,828,Normal,100,791,8.7,24.0,11.78,8,0,0,75.3,1
05/06/2026,16:53:32,68,828,Normal,100,793,55.1,24.0,11.89,8,0,0,45.3,1
05/06/2026,16:53:37,67,818,Normal,100,792,56.7,24.0,12.03,8,0,0,97.1,1
05/06/2026,16:54:04,67,818,Normal,100,791,8.5,24.0,11.98,8,0,0,32.8,1
05/06/2026,16:54:11,67,818,Normal,100,793,7.0,24.0,12.02,8,0,0,23.2,1
05/06/2026,16:54:36,67,828,Normal,100,792,4.7,24.0,12.02,8,0,0,19.0,1
05/06/2026,16:54:44,67,828,Normal,100,792,4.5,24.0,12.05,8,0,0,17.3,1
05/06/2026,16:55:09,67,828,Normal,100,768,10.3,24.0,10.93,8,0,0,15.9,1
05/06/2026,16:55:17,67,828,Normal,100,768,10.5,24.0,11.12,8,0,0,90.9,3
05/06/2026,16:55:41,67,838,Normal,100,758,6.7,24.0,11.04,8,0,0,63.1,2
05/06/2026,16:55:49,67,838,Normal,100,759,7.3,24.0,11.12,8,0,0,131.5,1
05/06/2026,16:56:13,67,838,Normal,100,759,13.2,24.0,11.04,8,0,0,78.9,2
05/06/2026,16:56:22,67,838,Normal,100,759,13.2,24.0,10.91,8,0,0,80.3,1
05/06/2026,16:56:45,67,828,Normal,100,759,6.5,24.0,10.69,8,0,0,22.3,1
05/06/2026,16:56:55,67,828,Normal,100,761,6.0,24.0,10.76,8,0,0,63.3,1
05/06/2026,16:57:17,67,828,Normal,100,760,6.8,24.0,10.69,8,0,0,35.4,2
05/06/2026,16:57:27,67,828,Normal,100,760,6.2,24.0,10.73,8,0,0,69.4,1
05/06/2026,16:57:49,67,818,Normal,100,765,9.8,24.0,11.01,8,0,0,65.9,1
05/06/2026,16:57:59,67,818,Normal,100,765,12.6,24.0,11.07,8,0,0,108.3,1
05/06/2026,16:58:22,67,818,Normal,100,765,13.2,24.0,11.12,8,0,0,104.3,2
05/06/2026,16:58:32,67,818,Normal,100,765,12.1,24.0,11.21,8,0,0,106.8,3
05/06/2026,16:58:54,67,808,Normal,100,765,11.0,24.0,11.18,8,0,0,148.4,3
05/06/2026,16:59:04,67,808,Normal,100,765,12.2,24.0,11.25,8,0,0,130.7,3
05/06/2026,16:59:26,67,808,Normal,100,765,13.0,24.0,11.63,8,0,0,99.6,2
05/06/2026,16:59:36,66,758,Normal,100,763,11.8,24.0,11.27,8,0,0,116.9,2
05/06/2026,16:59:58,66,758,Normal,100,763,11.9,24.0,11.21,8,0,0,82.5,2
05/06/2026,17:00:08,66,758,Normal,100,763,11.4,24.0,11.21,8,0,0,48.4,2
05/06/2026,17:00:31,66,758,Normal,100,762,9.6,24.0,11.29,8,0,0,137.2,2
05/06/2026,17:00:41,66,748,Normal,100,763,10.3,24.0,11.29,8,0,0,42.9,1
05/06/2026,17:01:03,66,748,Normal,100,766,10.3,24.0,11.32,8,0,0,51.3,4
05/06/2026,17:01:13,66,748,Normal,100,766,10.9,24.0,11.28,8,0,0,62.1,2
05/06/2026,17:01:35,66,758,Normal,100,763,9.6,24.0,11.25,8,0,0,46.9,1
05/06/2026,17:01:45,66,758,Normal,100,763,7.9,24.0,11.34,8,0,0,76.8,1
05/06/2026,17:02:07,66,758,Normal,100,763,10.8,24.0,11.33,8,0,0,87.7,2
05/06/2026,17:02:18,66,758,Normal,100,763,11.7,24.0,11.26,8,0,0,91.3,3
05/06/2026,17:02:39,66,800,Normal,100,763,10.5,24.0,11.26,8,0,0,85.6,1
05/06/2026,17:02:50,66,800,Normal,100,762,10.3,24.0,11.23,8,0,0,93.1,2
05/06/2026,17:03:12,66,800,Normal,100,765,12.0,24.0,11.4,8,0,0,166.7,1
05/06/2026,17:03:22,66,800,Normal,100,765,12.5,24.0,11.37,8,0,0,41.1,2
05/06/2026,17:03:44,66,750,Normal,100,763,11.7,24.0,11.3,8,0,0,69.1,1
05/06/2026,17:03:54,66,750,Normal,100,764,11.6,24.0,11.39,8,0,0,92.9,2
05/06/2026,17:04:16,66,750,Normal,100,763,11.4,24.0,11.26,8,0,0,83.8,1
05/06/2026,17:04:26,66,750,Normal,100,763,11.1,24.0,11.3,8,0,0,83.7,1
05/06/2026,17:04:48,66,740,Normal,100,763,10.5,24.0,11.22,8,0,0,31.7,1
